Direction,OpenPrice,ClosePrice,Profit/Loss,Profit/Loss in pips,Open Date,Close Date,First Commission,Second Commission,Deposit Curve,Percent Change,Adjusted Open Date,Adjusted Close Date
BUY, 1.1017638, 1.10569, 44.32, 39.3, 9/17/2019 8:00:00 AM, 9/18/2019 7:00:00 AM, 0.436666666666667, 0.43, 4673.57, 0.00938493270507934, 9/17/2019 8:00:00 AM, 9/18/2019 7:00:00 AM
SELL, 1.1057, 1.10573, -0.33, -0.3, 9/18/2019 7:00:00 AM, 9/18/2019 1:00:00 PM, 0.43, 0.43, 4672.38, -0.000254623339331518, 9/18/2019 7:00:00 AM, 9/18/2019 1:00:00 PM
BUY, 1.10573, 1.10133, -48.92, -44, 9/18/2019 1:00:00 PM, 9/18/2019 6:47:17 PM, 0.43, 0.43, 4622.6, -0.0106540991956989, 9/18/2019 1:00:00 PM, 9/18/2019 6:47:17 PM
SELL, 1.1032206, 1.10597, -30.24, -27.5, 9/18/2019 7:00:00 PM, 9/19/2019 9:00:00 AM, 0.43, 0.4225, 4591.5075, -0.00672619305152939, 9/18/2019 7:00:00 PM, 9/19/2019 9:00:00 AM
BUY, 1.10597, 1.10435, -17.7, -16.2, 9/19/2019 9:00:00 AM, 9/19/2019 8:00:00 PM, 0.4225, 0.4225, 4572.9625, -0.00403897848364618, 9/19/2019 9:00:00 AM, 9/19/2019 8:00:00 PM
SELL, 1.1043402, 1.10612, -19.37, -17.8, 9/19/2019 8:00:00 PM, 9/20/2019 7:00:00 AM, 0.4225, 0.42, 4552.75, -0.00442000125739051, 9/19/2019 8:00:00 PM, 9/20/2019 7:00:00 AM
BUY, 1.10612, 1.10424, -20.37, -18.8, 9/20/2019 7:00:00 AM, 9/20/2019 11:00:00 AM, 0.42, 0.42, 4531.54, -0.00465872274998628, 9/20/2019 7:00:00 AM, 9/20/2019 11:00:00 AM
SELL, 1.1042602, 1.10237, 20.38, 18.9, 9/20/2019 11:00:00 AM, 9/23/2019 3:00:00 AM, 0.42, 0.43, 4551.07, 0.00430979313875631, 9/20/2019 11:00:00 AM, 9/23/2019 3:00:00 AM
BUY, 1.10237, 1.09822, -47.19, -41.5, 9/23/2019 3:00:00 AM, 9/23/2019 7:31:12 AM, 0.43, 0.43, 4503.02, -0.0105579567002923, 9/23/2019 3:00:00 AM, 9/23/2019 7:31:12 AM
SELL, 1.0968702, 1.10023, -37.8, -33.6, 9/23/2019 8:00:00 AM, 9/24/2019 12:00:00 PM, 0.43, 0.425, 4464.365, -0.00858423902181197, 9/23/2019 8:00:00 AM, 9/24/2019 12:00:00 PM
BUY, 1.1002638, 1.10011, -1.67, -1.5, 9/24/2019 12:00:00 PM, 9/25/2019 2:00:00 AM, 0.425, 0.425, 4461.845, -0.000564469975013342, 9/24/2019 12:00:00 PM, 9/25/2019 2:00:00 AM
